center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses01_angry_02_A_052,Ses01_angry_02_A_050,Ses01_angry_02_B_051,Neutral,Surprise,Neutral,2,1,1,0,0
Ses01_angry_02_B_057,Ses01_angry_02_B_055,Ses01_angry_02_A_056,Happiness,Neutral,Neutral,2,1,1,0,0
Ses01_angry_02_A_058,Ses01_angry_02_A_056,Ses01_angry_02_B_057,Happiness,Neutral,Happiness,2,1,1,0,0
Ses01_angry_02_B_062,Ses01_angry_02_B_057,Ses01_angry_02_A_061,Neutral,Happiness,Happiness,5,1,1,0,0
Ses01_angry_02_B_066,Ses01_angry_02_B_064,Ses01_angry_02_A_065,Anger,Surprise,Surprise,2,1,1,0,0
Ses01_angry_02_A_069,Ses01_angry_02_A_067,Ses01_angry_02_B_068,Anger,Surprise,Anger,2,1,1,0,0
Ses01_angry_02_A_088,Ses01_angry_02_A_086,Ses01_angry_02_B_087,Anger,Surprise,Anger,2,1,1,0,0
Ses01_angry_03_B_009,Ses01_angry_03_B_007,Ses01_angry_03_A_008,Neutral,Surprise,Anger,2,1,1,0,0
Ses01_angry_03_B_011,Ses01_angry_03_B_009,Ses01_angry_03_A_010,Anger,Neutral,Anger,2,1,1,0,0
Ses01_angry_03_A_015,Ses01_angry_03_A_014,Ses01_angry_03_B_013,Anger,Disappointment,Disappointment,1,2,1,0,0
Ses01_angry_03_B_018,Ses01_angry_03_B_016,Ses01_angry_03_A_017,Neutral,Surprise,Anger,2,1,1,0,0
Ses01_angry_03_B_020,Ses01_angry_03_B_018,Ses01_angry_03_A_019,Anger,Neutral,Anger,2,1,1,0,0
Ses01_angry_03_B_024,Ses01_angry_03_B_022,Ses01_angry_03_A_023,Anger,Disappointment,Anger,2,1,1,0,0
Ses01_angry_03_B_027,Ses01_angry_03_B_024,Ses01_angry_03_A_025,Neutral,Anger,Anger,2,1,1,0,0
Ses01_angry_03_B_031,Ses01_angry_03_B_027,Ses01_angry_03_A_029,Anger,Neutral,Anger,2,1,1,0,0
Ses01_angry_03_B_036,Ses01_angry_03_B_034,Ses01_angry_03_A_035,Neutral,Anger,Anger,2,1,1,0,0
Ses01_angry_03_B_044,Ses01_angry_03_B_042,Ses01_angry_03_A_039,Neutral,Surprise,Anger,1,3,1,0,0
Ses01_angry_03_B_050,Ses01_angry_03_B_048,Ses01_angry_03_A_049,Happiness,Relaxation,Anger,2,1,1,0,0
Ses01_angry_03_B_051,Ses01_angry_03_B_050,Ses01_angry_03_A_049,Anger,Happiness,Anger,1,2,1,0,0
Ses01_angry_03_B_053,Ses01_angry_03_B_051,Ses01_angry_03_A_052,Happiness,Anger,Anger,2,1,1,0,0
Ses01_angry_03_B_056,Ses01_angry_03_B_053,Ses01_angry_03_A_054,Anger,Happiness,Anger,2,1,1,0,0
Ses01_angry_03_B_058,Ses01_angry_03_B_056,Ses01_angry_03_A_057,Happiness,Anger,Anger,2,1,1,0,0
Ses01_angry_03_B_063,Ses01_angry_03_B_061,Ses01_angry_03_A_062,Anger,Happiness,Anger,2,1,1,0,0
Ses01_angry_04_A_004,Ses01_angry_04_A_003,Ses01_angry_04_B_002,Anger,Disappointment,Neutral,1,2,1,0,0
Ses01_angry_04_B_007,Ses01_angry_04_B_005,Ses01_angry_04_A_006,Anger,Disappointment,Disappointment,2,1,1,0,0
Ses01_angry_04_A_008,Ses01_angry_04_A_006,Ses01_angry_04_B_007,Anger,Disappointment,Anger,2,1,1,0,0
Ses01_angry_04_A_016,Ses01_angry_04_A_014,Ses01_angry_04_B_015,Anger,Disappointment,Disappointment,2,1,1,0,0
Ses01_angry_04_B_017,Ses01_angry_04_B_015,Ses01_angry_04_A_016,Anger,Disappointment,Anger,2,1,1,0,0
Ses01_angry_04_A_026,Ses01_angry_04_A_025,Ses01_angry_04_B_024,Anger,Disappointment,Anger,1,2,1,0,0
Ses02_angry_05_B_009,Ses02_angry_05_B_006,Ses02_angry_05_A_008,Anger,Surprise,Anger,3,1,1,0,0
Ses02_angry_05_B_017,Ses02_angry_05_B_016,Ses02_angry_05_A_014,Anger,Fear,Anger,1,3,1,0,0
Ses02_angry_05_B_024,Ses02_angry_05_B_022,Ses02_angry_05_A_023,Anger,Fear,Anger,2,1,1,0,0
Ses02_angry_05_B_040,Ses02_angry_05_B_038,Ses02_angry_05_A_039,Anger,Frustration,Anger,2,1,1,0,0
Ses02_angry_08_B_008,Ses02_angry_08_B_006,Ses02_angry_08_A_007,Neutral,Anger,Frustration,2,1,1,0,0
Ses02_angry_08_B_010,Ses02_angry_08_B_008,Ses02_angry_08_A_009,Anger,Neutral,Frustration,2,1,1,0,0
Ses02_angry_08_A_012,Ses02_angry_08_A_009,Ses02_angry_08_B_010,Anger,Frustration,Anger,2,1,1,0,0
Ses02_angry_08_A_018,Ses02_angry_08_A_014,Ses02_angry_08_B_017,Anger,Frustration,Anger,3,1,1,0,0
Ses02_angry_08_B_031,Ses02_angry_08_B_029,Ses02_angry_08_A_030,Neutral,Anger,Anger,2,1,1,0,0
Ses02_angry_08_A_035,Ses02_angry_08_A_033,Ses02_angry_08_B_034,Anger,Disappointment,Neutral,2,1,1,0,0
Ses02_angry_08_B_036,Ses02_angry_08_B_034,Ses02_angry_08_A_035,Anger,Neutral,Anger,2,1,1,0,0
Ses03_angry_10_A_003,Ses03_angry_10_A_001,Ses03_angry_10_B_002,Anger,Neutral,Anger,2,1,1,0,0
Ses03_angry_10_A_005,Ses03_angry_10_A_003,Ses03_angry_10_B_004,Neutral,Anger,Anger,2,1,1,0,0
Ses03_angry_10_A_008,Ses03_angry_10_A_007,Ses03_angry_10_B_006,Neutral,Surprise,Anger,1,2,1,0,0
Ses03_angry_10_A_013,Ses03_angry_10_A_012,Ses03_angry_10_B_011,Anger,Fear,Anger,1,2,1,0,0
Ses03_angry_10_A_023,Ses03_angry_10_A_021,Ses03_angry_10_B_022,Anger,Fear,Anger,2,1,1,0,0
Ses03_angry_10_A_029,Ses03_angry_10_A_027,Ses03_angry_10_B_028,Anger,Frustration,Anger,2,1,1,0,0
Ses03_angry_10_A_032,Ses03_angry_10_A_031,Ses03_angry_10_B_030,Anger,Fear,Anger,1,2,1,0,0
Ses03_angry_10_A_043,Ses03_angry_10_A_041,Ses03_angry_10_B_042,Sadness,Frustration,Anger,2,1,1,0,0
Ses03_angry_10_B_045,Ses03_angry_10_B_044,Ses03_angry_10_A_043,Anger,Frustration,Sadness,1,2,1,0,0
Ses03_angry_11_A_004,Ses03_angry_11_A_003,pad,Anger,Neutral,pad,1,None,1,0,0
Ses03_angry_11_A_006,Ses03_angry_11_A_004,Ses03_angry_11_B_005,Neutral,Anger,Anger,2,1,1,0,0
Ses03_angry_11_A_017,Ses03_angry_11_A_015,Ses03_angry_11_B_016,Anger,Disappointment,Anger,2,1,1,0,0
Ses03_angry_11_A_021,Ses03_angry_11_A_019,Ses03_angry_11_B_020,Neutral,Anger,Anger,2,1,1,0,0
Ses03_angry_11_A_025,Ses03_angry_11_A_023,Ses03_angry_11_B_024,Anger,Frustration,Anger,2,1,1,0,0
Ses03_angry_11_A_028,Ses03_angry_11_A_025,Ses03_angry_11_B_027,Neutral,Anger,Anger,3,1,1,0,0
Ses03_angry_11_A_030,Ses03_angry_11_A_028,Ses03_angry_11_B_029,Anger,Neutral,Anger,2,1,1,0,0
Ses03_angry_11_B_056,Ses03_angry_11_B_054,Ses03_angry_11_A_055,Neutral,Anger,Anger,2,1,1,0,0
Ses04_angry_13_A_004,Ses04_angry_13_A_003,Ses04_angry_13_B_002,Happiness,Neutral,Neutral,1,2,1,0,0
Ses04_angry_13_A_005,Ses04_angry_13_A_004,Ses04_angry_13_B_002,Neutral,Happiness,Neutral,1,3,1,0,0
Ses04_angry_13_A_007,Ses04_angry_13_A_005,Ses04_angry_13_B_006,Happiness,Neutral,Neutral,2,1,1,0,0
Ses04_angry_13_B_009,Ses04_angry_13_B_006,Ses04_angry_13_A_008,Happiness,Neutral,Happiness,3,1,1,0,0
Ses04_angry_13_B_011,Ses04_angry_13_B_009,Ses04_angry_13_A_010,Neutral,Happiness,Happiness,2,1,1,0,0
Ses04_angry_13_A_014,Ses04_angry_13_A_012,Ses04_angry_13_B_013,Neutral,Happiness,Neutral,2,1,1,0,0
Ses04_angry_13_A_018,Ses04_angry_13_A_016,Ses04_angry_13_B_017,Neutral,Surprise,Neutral,2,1,1,0,0
Ses04_angry_13_A_021,Ses04_angry_13_A_020,Ses04_angry_13_B_019,Neutral,Surprise,Surprise,1,2,1,0,0
Ses04_angry_13_B_022,Ses04_angry_13_B_019,Ses04_angry_13_A_021,Neutral,Surprise,Neutral,3,1,1,0,0
Ses04_angry_13_B_024,Ses04_angry_13_B_022,Ses04_angry_13_A_023,Anger,Neutral,Fear,2,1,1,0,0
Ses04_angry_13_A_032,Ses04_angry_13_A_030,Ses04_angry_13_B_031,Anger,Surprise,Anger,2,1,1,0,0
Ses04_angry_14_A_003,Ses04_angry_14_A_001,pad,Anger,Neutral,pad,1,None,1,0,0
Ses04_angry_14_B_008,Ses04_angry_14_B_006,Ses04_angry_14_A_007,Happiness,Disappointment,Anger,2,1,1,0,0
Ses04_angry_14_B_010,Ses04_angry_14_B_008,Ses04_angry_14_A_009,Anger,Happiness,Anger,2,1,1,0,0
Ses04_angry_15_A_008,Ses04_angry_15_A_004,Ses04_angry_15_B_007,Anger,Neutral,Anger,4,1,1,0,0
Ses04_angry_15_A_014,Ses04_angry_15_A_012,Ses04_angry_15_B_013,Anger,Disappointment,Anger,2,1,1,0,0
Ses04_angry_15_A_020,Ses04_angry_15_A_018,Ses04_angry_15_B_019,Anger,Disappointment,Anger,2,1,1,0,0
Ses04_angry_16_A_003,Ses04_angry_16_A_001,Ses04_angry_16_B_002,Neutral,Relaxation,Neutral,2,1,1,0,0
Ses04_angry_16_B_007,Ses04_angry_16_B_002,Ses04_angry_16_A_006,Anger,Neutral,Neutral,5,1,1,0,0
Ses04_angry_16_B_014,Ses04_angry_16_B_011,Ses04_angry_16_A_012,Neutral,Anger,Neutral,2,1,1,0,0
Ses04_angry_16_A_019,Ses04_angry_16_A_017,Ses04_angry_16_B_018,Neutral,Disappointment,Disappointment,2,1,1,0,0
Ses04_angry_16_A_020,Ses04_angry_16_A_019,Ses04_angry_16_B_018,Anger,Neutral,Disappointment,1,2,1,0,0
Ses04_angry_16_B_021,Ses04_angry_16_B_018,Ses04_angry_16_A_020,Anger,Disappointment,Anger,3,1,1,0,0
Ses05_angry_17_A_010,Ses05_angry_17_A_008,Ses05_angry_17_B_009,Neutral,Surprise,Surprise,2,1,1,0,0
Ses05_angry_17_B_011,Ses05_angry_17_B_009,Ses05_angry_17_A_010,Anger,Surprise,Neutral,2,1,1,0,0
Ses05_angry_17_A_012,Ses05_angry_17_A_010,Ses05_angry_17_B_011,Happiness,Neutral,Anger,2,1,1,0,0
Ses05_angry_17_A_026,Ses05_angry_17_A_024,Ses05_angry_17_B_025,Neutral,Frustration,Anger,2,1,1,0,0
Ses05_angry_17_A_030,Ses05_angry_17_A_028,Ses05_angry_17_B_025,Anger,Surprise,Anger,1,4,1,0,0
Ses05_angry_19_A_011,Ses05_angry_19_A_010,Ses05_angry_19_B_009,Neutral,Anger,Anger,1,2,1,0,0
Ses05_angry_19_A_013,Ses05_angry_19_A_011,Ses05_angry_19_B_009,Anger,Neutral,Anger,1,3,1,0,0
Ses05_angry_19_B_020,Ses05_angry_19_B_016,Ses05_angry_19_A_019,Happiness,Anger,Anger,4,1,1,0,0
Ses05_angry_19_B_025,Ses05_angry_19_B_020,Ses05_angry_19_A_023,Anger,Happiness,Anger,3,1,1,0,0
Ses05_angry_20_B_005,Ses05_angry_20_B_002,Ses05_angry_20_A_004,Neutral,Surprise,Neutral,3,1,1,0,0
Ses05_angry_20_A_010,Ses05_angry_20_A_008,Ses05_angry_20_B_009,Happiness,Neutral,Other,2,1,1,0,0
Ses05_angry_20_B_019,Ses05_angry_20_B_011,Ses05_angry_20_A_018,Anger,Other,Fear,6,1,1,0,0
Ses05_angry_20_A_028,Ses05_angry_20_A_026,Ses05_angry_20_B_027,Anger,Surprise,Anger,2,1,1,0,0
Ses05_angry_20_A_050,Ses05_angry_20_A_047,Ses05_angry_20_B_049,Anger,Fear,Anger,3,1,1,0,0
Ses01_frustration_01_B_003,Ses01_frustration_01_B_002,Ses01_frustration_01_A_001,Anger,Frustration,Anger,1,2,1,0,0
Ses01_frustration_03_A_003,Ses01_frustration_03_A_001,Ses01_frustration_03_B_002,Neutral,Happiness,Happiness,2,1,1,0,0
Ses01_frustration_03_B_004,Ses01_frustration_03_B_002,Ses01_frustration_03_A_003,Neutral,Happiness,Neutral,2,1,1,0,0
Ses01_frustration_03_A_009,Ses01_frustration_03_A_007,Ses01_frustration_03_B_008,Happiness,Neutral,Neutral,2,1,1,0,0
Ses01_frustration_03_B_010,Ses01_frustration_03_B_008,Ses01_frustration_03_A_009,Happiness,Neutral,Happiness,2,1,1,0,0
Ses01_frustration_03_A_013,Ses01_frustration_03_A_009,Ses01_frustration_03_B_012,Neutral,Happiness,Happiness,4,1,1,0,0
Ses01_frustration_03_A_015,Ses01_frustration_03_A_013,Ses01_frustration_03_B_014,Happiness,Neutral,Happiness,2,1,1,0,0
Ses01_frustration_03_A_022,Ses01_frustration_03_A_021,Ses01_frustration_03_B_020,Happiness,Frustration,Happiness,1,2,1,0,0
Ses01_frustration_03_B_031,Ses01_frustration_03_B_028,Ses01_frustration_03_A_030,Happiness,Frustration,Frustration,2,1,1,0,0
Ses01_frustration_03_A_032,Ses01_frustration_03_A_030,Ses01_frustration_03_B_031,Sadness,Frustration,Happiness,2,1,1,0,0
Ses01_frustration_03_A_035,Ses01_frustration_03_A_033,Ses01_frustration_03_B_031,Sadness,Frustration,Happiness,1,3,1,0,0
Ses01_frustration_04_A_006,Ses01_frustration_04_A_004,Ses01_frustration_04_B_005,Neutral,Anger,Surprise,2,1,1,0,0
Ses01_frustration_04_B_007,Ses01_frustration_04_B_005,Ses01_frustration_04_A_006,Neutral,Surprise,Neutral,2,1,1,0,0
Ses01_frustration_04_A_010,Ses01_frustration_04_A_008,Ses01_frustration_04_B_009,Anger,Disappointment,Neutral,2,1,1,0,0
Ses01_frustration_04_A_017,Ses01_frustration_04_A_015,Ses01_frustration_04_B_016,Anger,Disappointment,Disappointment,2,1,1,0,0
Ses01_frustration_04_B_019,Ses01_frustration_04_B_016,Ses01_frustration_04_A_017,Neutral,Disappointment,Anger,2,1,1,0,0
Ses01_frustration_04_B_021,Ses01_frustration_04_B_019,Ses01_frustration_04_A_020,Sadness,Neutral,Frustration,2,1,1,0,0
Ses01_frustration_04_B_024,Ses01_frustration_04_B_021,Ses01_frustration_04_A_023,Neutral,Sadness,Frustration,3,1,1,0,0
Ses01_frustration_04_A_025,Ses01_frustration_04_A_023,Ses01_frustration_04_B_024,Neutral,Frustration,Neutral,2,1,1,0,0
Ses02_frustration_05_B_004,Ses02_frustration_05_B_002,Ses02_frustration_05_A_003,Sadness,Frustration,Neutral,2,1,1,0,0
Ses02_frustration_05_A_005,Ses02_frustration_05_A_003,Ses02_frustration_05_B_004,Anger,Neutral,Sadness,2,1,1,0,0
Ses02_frustration_05_A_008,Ses02_frustration_05_A_007,Ses02_frustration_05_B_006,Neutral,Disappointment,Frustration,1,2,1,0,0
Ses02_frustration_05_B_009,Ses02_frustration_05_B_006,Ses02_frustration_05_A_008,Neutral,Frustration,Neutral,3,1,1,0,0
Ses02_frustration_05_A_019,Ses02_frustration_05_A_017,Ses02_frustration_05_B_018,Neutral,Disappointment,Frustration,2,1,1,0,0
Ses02_frustration_05_A_022,Ses02_frustration_05_A_020,Ses02_frustration_05_B_021,Sadness,Disappointment,Frustration,2,1,1,0,0
Ses02_frustration_05_B_023,Ses02_frustration_05_B_021,Ses02_frustration_05_A_022,Sadness,Frustration,Sadness,2,1,1,0,0
Ses02_frustration_05_A_027,Ses02_frustration_05_A_025,Ses02_frustration_05_B_026,Neutral,Disappointment,Disappointment,2,1,1,0,0
Ses02_frustration_05_A_034,Ses02_frustration_05_A_031,Ses02_frustration_05_B_032,Neutral,Surprise,Disappointment,2,1,1,0,0
Ses02_frustration_05_B_037,Ses02_frustration_05_B_035,Ses02_frustration_05_A_036,Neutral,Frustration,Neutral,2,1,1,0,0
Ses02_frustration_05_B_043,Ses02_frustration_05_B_041,Ses02_frustration_05_A_042,Neutral,Frustration,Neutral,2,1,1,0,0
Ses02_frustration_05_A_047,Ses02_frustration_05_A_044,Ses02_frustration_05_B_045,Neutral,Disappointment,Neutral,2,1,1,0,0
Ses02_frustration_05_B_051,Ses02_frustration_05_B_049,Ses02_frustration_05_A_050,Neutral,Frustration,Neutral,2,1,1,0,0
Ses02_frustration_07_A_003,Ses02_frustration_07_A_002,pad,Neutral,Relaxation,pad,1,None,1,0,0
Ses02_frustration_07_B_013,Ses02_frustration_07_B_012,Ses02_frustration_07_A_011,Neutral,Frustration,Frustration,1,2,1,0,0
Ses02_frustration_07_A_014,Ses02_frustration_07_A_011,Ses02_frustration_07_B_013,Neutral,Frustration,Neutral,3,1,1,0,0
Ses02_frustration_07_A_024,Ses02_frustration_07_A_022,Ses02_frustration_07_B_023,Neutral,Surprise,Fear,2,1,1,0,0
Ses02_frustration_07_B_027,Ses02_frustration_07_B_025,Ses02_frustration_07_A_026,Neutral,Frustration,Neutral,2,1,1,0,0
Ses02_frustration_07_B_029,Ses02_frustration_07_B_027,Ses02_frustration_07_A_028,Sadness,Neutral,Neutral,2,1,1,0,0
Ses02_frustration_07_B_031,Ses02_frustration_07_B_029,Ses02_frustration_07_A_030,Happiness,Sadness,Neutral,2,1,1,0,0
Ses02_frustration_07_A_032,Ses02_frustration_07_A_030,Ses02_frustration_07_B_031,Happiness,Neutral,Happiness,2,1,1,0,0
Ses02_frustration_07_A_036,Ses02_frustration_07_A_034,Ses02_frustration_07_B_035,Neutral,Happiness,Fear,2,1,1,0,0
Ses02_frustration_08_B_003,Ses02_frustration_08_B_002,Ses02_frustration_08_A_001,Sadness,Disappointment,Neutral,1,2,1,0,0
Ses02_frustration_08_A_007,Ses02_frustration_08_A_004,Ses02_frustration_08_B_006,Happiness,Neutral,Sadness,3,1,1,0,0
Ses02_frustration_08_A_011,Ses02_frustration_08_A_010,Ses02_frustration_08_B_008,Happiness,Surprise,Frustration,1,2,1,0,0
Ses02_frustration_08_B_012,Ses02_frustration_08_B_008,Ses02_frustration_08_A_011,Sadness,Frustration,Happiness,3,1,1,0,0
Ses02_frustration_08_A_020,Ses02_frustration_08_A_019,Ses02_frustration_08_B_016,Happiness,Surprise,Disappointment,1,4,1,0,0
Ses02_frustration_08_A_024,Ses02_frustration_08_A_023,Ses02_frustration_08_B_016,Neutral,Frustration,Disappointment,1,7,1,0,0
Ses02_frustration_08_B_025,Ses02_frustration_08_B_016,Ses02_frustration_08_A_024,Sadness,Disappointment,Neutral,8,1,1,0,0
Ses02_frustration_08_A_027,Ses02_frustration_08_A_024,Ses02_frustration_08_B_026,Sadness,Neutral,Sadness,3,1,1,0,0
Ses03_frustration_09_B_012,Ses03_frustration_09_B_010,Ses03_frustration_09_A_011,Anger,Neutral,Neutral,2,1,1,0,0
Ses03_frustration_09_A_013,Ses03_frustration_09_A_011,Ses03_frustration_09_B_012,Anger,Neutral,Anger,2,1,1,0,0
Ses03_frustration_09_A_021,Ses03_frustration_09_A_020,Ses03_frustration_09_B_018,Neutral,Frustration,Anger,1,2,1,0,0
Ses03_frustration_09_B_025,Ses03_frustration_09_B_024,Ses03_frustration_09_A_023,Neutral,Anger,Neutral,1,2,1,0,0
Ses03_frustration_09_B_028,Ses03_frustration_09_B_025,Ses03_frustration_09_A_027,Anger,Neutral,Neutral,3,1,1,0,0
Ses03_frustration_09_B_037,Ses03_frustration_09_B_034,Ses03_frustration_09_A_036,Anger,Frustration,Frustration,3,1,1,0,0
Ses03_frustration_09_A_038,Ses03_frustration_09_A_036,Ses03_frustration_09_B_037,Neutral,Frustration,Anger,2,1,1,0,0
Ses03_frustration_09_A_041,Ses03_frustration_09_A_039,Ses03_frustration_09_B_040,Neutral,Frustration,Frustration,2,1,1,0,0
Ses03_frustration_10_B_016,Ses03_frustration_10_B_014,Ses03_frustration_10_A_015,Neutral,Frustration,Neutral,2,1,1,0,0
Ses03_frustration_10_B_025,Ses03_frustration_10_B_024,Ses03_frustration_10_A_023,Neutral,Surprise,Neutral,1,2,1,0,0
Ses03_frustration_10_B_031,Ses03_frustration_10_B_030,Ses03_frustration_10_A_027,Neutral,Surprise,Surprise,1,4,1,0,0
Ses03_frustration_10_A_033,Ses03_frustration_10_A_027,Ses03_frustration_10_B_032,Neutral,Surprise,Neutral,6,1,1,0,0
Ses03_frustration_10_B_035,Ses03_frustration_10_B_034,Ses03_frustration_10_A_033,Happiness,Neutral,Neutral,1,2,1,0,0
Ses03_frustration_10_A_036,Ses03_frustration_10_A_033,Ses03_frustration_10_B_035,Happiness,Neutral,Happiness,3,1,1,0,0
Ses03_frustration_10_B_038,Ses03_frustration_10_B_037,Ses03_frustration_10_A_036,Neutral,Happiness,Happiness,1,2,1,0,0
Ses03_frustration_10_A_039,Ses03_frustration_10_A_036,Ses03_frustration_10_B_038,Neutral,Happiness,Neutral,3,1,1,0,0
Ses03_frustration_10_A_042,Ses03_frustration_10_A_040,Ses03_frustration_10_B_041,Happiness,Surprise,Relaxation,2,1,1,0,0
Ses03_frustration_10_B_043,Ses03_frustration_10_B_041,Ses03_frustration_10_A_042,Anger,Relaxation,Happiness,2,1,1,0,0
Ses03_frustration_10_A_047,Ses03_frustration_10_A_044,Ses03_frustration_10_B_046,Neutral,Happiness,Anger,3,1,1,0,0
Ses03_frustration_10_B_049,Ses03_frustration_10_B_046,Ses03_frustration_10_A_048,Neutral,Anger,Neutral,3,1,1,0,0
Ses03_frustration_10_B_050,Ses03_frustration_10_B_049,Ses03_frustration_10_A_048,Anger,Neutral,Neutral,1,2,1,0,0
Ses03_frustration_10_B_052,Ses03_frustration_10_B_050,Ses03_frustration_10_A_051,Neutral,Anger,Neutral,2,1,1,0,0
Ses03_frustration_10_B_053,Ses03_frustration_10_B_052,Ses03_frustration_10_A_051,Anger,Neutral,Neutral,1,2,1,0,0
Ses03_frustration_10_B_056,Ses03_frustration_10_B_053,Ses03_frustration_10_A_055,Neutral,Anger,Neutral,3,1,1,0,0
Ses03_frustration_10_B_059,Ses03_frustration_10_B_056,Ses03_frustration_10_A_058,Anger,Neutral,Neutral,3,1,1,0,0
Ses03_frustration_10_A_062,Ses03_frustration_10_A_060,Ses03_frustration_10_B_061,Happiness,Neutral,Anger,2,1,1,0,0
Ses03_frustration_10_A_063,Ses03_frustration_10_A_062,Ses03_frustration_10_B_061,Neutral,Happiness,Anger,1,2,1,0,0
Ses03_frustration_10_B_065,Ses03_frustration_10_B_061,Ses03_frustration_10_A_064,Neutral,Anger,Neutral,4,1,1,0,0
Ses03_frustration_10_B_068,Ses03_frustration_10_B_066,Ses03_frustration_10_A_067,Neutral,Surprise,Neutral,2,1,1,0,0
Ses03_frustration_10_B_069,Ses03_frustration_10_B_068,Ses03_frustration_10_A_067,Anger,Neutral,Neutral,1,2,1,0,0
Ses03_frustration_10_A_072,Ses03_frustration_10_A_067,Ses03_frustration_10_B_070,Happiness,Neutral,Anger,4,1,1,0,0
Ses03_frustration_11_A_004,Ses03_frustration_11_A_002,Ses03_frustration_11_B_003,Happiness,Neutral,Surprise,2,1,1,0,0
Ses03_frustration_11_A_005,Ses03_frustration_11_A_004,Ses03_frustration_11_B_003,Neutral,Happiness,Surprise,1,2,1,0,0
Ses03_frustration_11_A_008,Ses03_frustration_11_A_005,Ses03_frustration_11_B_007,Happiness,Neutral,Relaxation,2,1,1,0,0
Ses03_frustration_11_B_009,Ses03_frustration_11_B_007,Ses03_frustration_11_A_008,Neutral,Relaxation,Happiness,2,1,1,0,0
Ses03_frustration_11_B_013,Ses03_frustration_11_B_011,Ses03_frustration_11_A_012,Happiness,Neutral,Happiness,2,1,1,0,0
Ses03_frustration_11_A_015,Ses03_frustration_11_A_012,Ses03_frustration_11_B_014,Neutral,Happiness,Happiness,3,1,1,0,0
Ses03_frustration_11_B_016,Ses03_frustration_11_B_014,Ses03_frustration_11_A_015,Neutral,Happiness,Neutral,2,1,1,0,0
Ses03_frustration_11_A_021,Ses03_frustration_11_A_019,Ses03_frustration_11_B_020,Happiness,Neutral,Surprise,2,1,1,0,0
Ses03_frustration_11_B_022,Ses03_frustration_11_B_020,Ses03_frustration_11_A_021,Neutral,Surprise,Happiness,2,1,1,0,0
Ses03_frustration_11_A_024,Ses03_frustration_11_A_021,Ses03_frustration_11_B_023,Anger,Happiness,Neutral,3,1,1,0,0
Ses03_frustration_11_B_028,Ses03_frustration_11_B_027,Ses03_frustration_11_A_026,Anger,Surprise,Anger,1,2,1,0,0
Ses03_frustration_11_A_029,Ses03_frustration_11_A_026,Ses03_frustration_11_B_028,Neutral,Anger,Anger,3,1,1,0,0
